P1_MUNICIPIO,conteo,porcentaje
823,66,0.0775503489765704
397,66,0.0775503489765704
32,65,0.0763753436890466
497,65,0.0763753436890466
558,65,0.0763753436890466
669,65,0.0763753436890466
3,64,0.0752003384015228
390,64,0.0752003384015228
797,64,0.0752003384015228
29,64,0.0752003384015228
720,63,0.07402533311399902
815,63,0.07402533311399902
226,62,0.07285032782647521
607,62,0.07285032782647521
659,62,0.07285032782647521
319,62,0.07285032782647521
40,62,0.07285032782647521
886,61,0.07167532253895142
612,61,0.07167532253895142
508,61,0.07167532253895142
427,61,0.07167532253895142
744,61,0.07167532253895142
282,61,0.07167532253895142
545,61,0.07167532253895142
761,60,0.07050031725142764
386,60,0.07050031725142764
476,60,0.07050031725142764
100,60,0.07050031725142764
533,60,0.07050031725142764
821,60,0.07050031725142764
232,60,0.07050031725142764
883,60,0.07050031725142764
805,60,0.07050031725142764
642,60,0.07050031725142764
187,60,0.07050031725142764
2,60,0.07050031725142764
53,60,0.07050031725142764
240,60,0.07050031725142764
854,60,0.07050031725142764
367,60,0.07050031725142764
860,60,0.07050031725142764
895,60,0.07050031725142764
377,60,0.07050031725142764
359,60,0.07050031725142764
332,60,0.07050031725142764
142,60,0.07050031725142764
862,60,0.07050031725142764
604,60,0.07050031725142764
494,60,0.07050031725142764
549,60,0.07050031725142764
73,60,0.07050031725142764
468,60,0.07050031725142764
204,60,0.07050031725142764
310,60,0.07050031725142764
632,60,0.07050031725142764
774,60,0.07050031725142764
67,60,0.07050031725142764
419,59,0.06932531196390383
707,59,0.06932531196390383
504,59,0.06932531196390383
339,59,0.06932531196390383
662,58,0.06815030667638004
347,58,0.06815030667638004
506,58,0.06815030667638004
372,58,0.06815030667638004
980,58,0.06815030667638004
74,58,0.06815030667638004
890,58,0.06815030667638004
352,57,0.06697530138885625
160,57,0.06697530138885625
30,57,0.06697530138885625
867,57,0.06697530138885625
258,57,0.06697530138885625
832,56,0.06580029610133245
828,56,0.06580029610133245
214,55,0.06462529081380866
408,55,0.06462529081380866
600,54,0.06345028552628487
95,53,0.062275280238761076
461,51,0.05992526966371349
762,50,0.058750264376189694
488,50,0.058750264376189694
889,50,0.058750264376189694
780,50,0.058750264376189694
322,50,0.058750264376189694
681,50,0.058750264376189694
671,49,0.0575752590886659
438,48,0.05640025380114211
128,47,0.05522524851361831
605,47,0.05522524851361831
897,46,0.054050243226094516
620,46,0.054050243226094516
680,45,0.05287523793857073
266,45,0.05287523793857073
26,45,0.05287523793857073
614,45,0.05287523793857073
205,44,0.05170023265104693
52,44,0.05170023265104693
475,44,0.05170023265104693
446,44,0.05170023265104693
702,43,0.050525227363523134
209,43,0.050525227363523134
138,43,0.050525227363523134
806,42,0.049350222075999345
55,42,0.049350222075999345
769,42,0.049350222075999345
140,42,0.049350222075999345
176,42,0.049350222075999345
349,42,0.049350222075999345
511,42,0.049350222075999345
22,41,0.04817521678847555
132,41,0.04817521678847555
411,41,0.04817521678847555
740,40,0.04700021150095175
420,40,0.04700021150095175
790,40,0.04700021150095175
697,40,0.04700021150095175
413,40,0.04700021150095175
799,40,0.04700021150095175
875,40,0.04700021150095175
658,40,0.04700021150095175
672,40,0.04700021150095175
221,40,0.04700021150095175
355,40,0.04700021150095175
368,40,0.04700021150095175
376,40,0.04700021150095175
622,40,0.04700021150095175
634,40,0.04700021150095175
101,39,0.04582520621342796
357,39,0.04582520621342796
742,39,0.04582520621342796
152,39,0.04582520621342796
664,39,0.04582520621342796
479,39,0.04582520621342796
586,39,0.04582520621342796
458,39,0.04582520621342796
60,38,0.04465020092590417
599,38,0.04465020092590417
449,38,0.04465020092590417
666,38,0.04465020092590417
791,38,0.04465020092590417
432,38,0.04465020092590417
500,37,0.04347519563838037
786,37,0.04347519563838037
536,37,0.04347519563838037
877,36,0.04230019035085658
444,35,0.041125185063332785
652,33,0.0387751744882852
62,30,0.03525015862571382
631,19,0.022325100462952083
129,18,0.02115009517542829
308,11,0.012925058162761733
